Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,erker_v15ib,,text,Record ID,,,,,,,,,,,,,
sct_422549004,erker_v15ib,1. Formale Kriterien,text,"1.1 Pseudonym [String]
",,Standortspezifische Pseudonymisierung,,,,,,,,,,,"Variable: 
SCT: 422549004 | Patient-related Identification code (observable entity) | "
sct_399423000,erker_v15ib,,text,1.2 Formale Kriterien - Einschlussdatum [YYYY-MM-DD],,Bitte das Datum der Erfassung des:der Patient:in angeben.,date_ymd,,,,,,,,,,"Variable:
SCT: 399423000 | Date of admission (observable entity) |"
sct_184099003_y,erker_v15ib,2. Persönliche Angaben,text,2.1 Geburtsjahr [JJJJ],,,number,1900,2100,y,,y,,,,,"Variable:
SCT: 184099003 | Date of birth (observable entity) |  : 410671006 | Date (attribute) | = 258707000 | year (qualifier value) |"
sct_429019009,erker_v15ib,,dropdown,2.2 Geschlecht [des Patienten bei Geburt],"sct_248152002, Weiblich | sct_248153007, Männlich | sct_184115007, Unbestimmt | sct_32570691000036108, Divers | sct_394743007, Unbekannt",Bitte das Geschlecht des*der Patient*in bei der Geburt angeben.,,,,y,,y,,,,,"Variable:
SCT: 429019009 | Finding related to biological sex (finding) |
Choices:
SCT: 248152002 | Female (finding) |
SCT: 248153007 | Male (finding) |
SCT: 184115007 | Patient sex unknown (finding) |
SCT: 32570691000036108 |  Intersex (finding) |
SCT: 394743007 | Gender unknown (finding) |"
sct_263495000,erker_v15ib,,dropdown,2.3 Administratives Geschlecht,"sct_248152002, Weiblich | sct_248153007, Männlich | sct_184115007, Unbestimmt | sct_33791000087105, Divers | sct_1220561009, nicht erfasst",,,,,,,,,,,,"Variable: 
SCT: 263495000 | Gender (observable entity) |
Choices:
SCT: 248152002 | Female (finding) |
SCT: 248153007 | Male (finding) |
SCT: 184115007 | Patient sex unknown (finding) |
SCT: 33791000087105 | Identifies as nonbinary gender (finding) |
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_370159000,erker_v15ib,,text,2.4 Geburtsland [SNOMED CT],BIOPORTAL:SNOMEDCT,alternativ im SNOMED CT Browser https://browser.ihtsdotools.org/? suchen,,,,,,,,,,,"Varibale:
370159000 | Country of birth (finding) |"
sct_397731000,erker_v15ib,,dropdown,2.5 Ethnizität,"sct_14045001, Caucasian | sct_18167009, African | sct_315280000, Asian | sct_90027003, Arabic | sct_414408004, Hispanic or Latino | sct_372148003_246261001_26242008, Mixed-origin | sct_372148003_246261001_74964007, Other descendent-of | sct_312863000, nicht erfasst",,,,,,,,,,,,"Variable:
SCT: 372148003 | Ethnic group finding (finding) |
Choices:
SCT: 14045001 | Caucasian (ethnic group) | 
SCT: 18167009 | Black African (ethnic group) | 
SCT: 315280000 | Asian - ethnic group (ethnic group) | 
SCT: 90027003 | Arabs (ethnic group) | 
SCT: 414408004 | Hispanic (racial group) | 
SCT: 372148003 | Ethnic group finding (finding) | : 246261001 | Group (attribute) | = 26242008 | Mixed (qualifier value) |
SCT: 372148003 | Ethnic group finding (finding) | : 246261001 | Group (attribute) | = 74964007 | Other (qualifier value) |
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_365860008,erker_v15ib,3. Patiententstatus,dropdown,3.1 Patientenstatus [lebend oder toter Patient:in],"CS_MII_Person_Vitalstatus_L, Lebend | CS_MII_Person_Vitalstatus_T, Tot | CS_MII_Person_Vitalstatus_X, Nicht weiterverfolgt | CS_MII_Person_Vitalstatus_V, verweigert (von weiterer Behandlung) | sct_1220561009, nicht erfasst","Falls tot, Frage 3.2 beantworten",,,,,,,,,,,"Variable: 
SCT; 365860008 | General clinical state finding (finding) |
Choices:
used from: https://www.medizininformatik-initiative.de/fhir/core/modul-person/CodeSystem/Vitalstatus
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_399753006,erker_v15ib,,text,3.2ATodeszeitpunkt [Sterbedatum des:der Patient:in],,,date_ymd,,,,[sct_365860008] = 'CS_MII_Person_Vitalstatus_T',,,,,,"Variable:
SCT: 399753006 | Date of death (observable entity) |"
sct_420259009,erker_v15ib,,text,3.2B Sterbealter des:der Patient:in [in Jahren] ,,Bitte geben Sie eine ganze Zahl zwischen 0 und 100 (jeweils einschließlich) ein!,number,1,150,,[sct_365860008] = 'CS_MII_Person_Vitalstatus_T',,,,,,"Variable:
SCT: 420259009 | Family history: Age at death (situation) |"
sct_410598002,erker_v15ib,,dropdown,3.3 Patientenstatus - Alterskategorie,"sct_3658006, Säugling (< 1 Jahr) | sct_713153009, Kleinkind (≥1 bis < 6 Jahre) | sct_255398004, Schulkind (≥6 bis < 12 Jahre) | sct_263659003, Jugendliche:r (≥12 bis < 18 Jahre) | sct_41847000, Erwachsene:r (≥18 Jahre) | sct_303112003, Ungeboren | CS_MII_Person_Vitalstatus_T, Verstorben | CS_MII_Person_Vitalstatus_X, Unbekannt",Bitte Alterskategorie bei Einschluss im NARSE angeben.,,,,,,,,,,,"Variable:
SCT: 410598002 | Person categorized by age (person) | 
(at the timestamp of the data capture)
Choices:
SCT: 3658006 | Infancy (qualifier value) | 
SCT: 713153009 | Toddler (qualifier value) | 
SCT: 255398004 | Childhood (qualifier value) | 
SCT: 263659003 | Adolescence (qualifier value) | 
SCT: 41847000 | Adulthood (qualifier value) | 
SCT: 303112003 | Fetal period (qualifier value) |"
sct_184305005_rd,erker_v15ib,,dropdown,3.4 An SE verstorben? ,"sct_373066001, Ja | sct_373067005, Nein | sct_261665006, Unbekannt | sct_1220561009, nicht erfasst","Bitte angeben, ob der*die Patient*in an seltener Erkrankung verstorben ist.",,,,,,,,,,,"Variable:
SCT: 184305005 | Cause of death (observable entity) | : 68369002 | Brought on by (attribute) | = (64572001 | Disease (disorder) | : 246061005 | Attribute (attribute) | = 89292003 | Rare (qualifier value) | )
Choices:
SCT: 373066001 | Yes (qualifier value) |
SCT: 373067005 | No (qualifier value) |
SCT: 261665006 | Unknown (qualifier value) | 
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_16100001,erker_v15ib,,text,3.5 Haupttodesursache im Totenschein [ICD10-GM],,"Bitte nur ICD-10 Code angeben, z.B.: ""E66.8""",,,,,[sct_365860008] = 'CS_MII_Person_Vitalstatus_T',,,,,,"Variable:
SCT: 16100001 | Death diagnosis (contextual qualifier) (qualifier value) |
(in 307930005 | Death certificate (record artifact) | )"
sct_16100001_source,erker_v15ib,,dropdown,3.6 Informationsquelle der Todesursache,"sct_270425006, Arztbrief | sct_307930005, Totenschein | sct_229053005, Melderegister | sct_74964007, sonstiges | sct_1220561009, nicht erfasst",,,,,,[sct_365860008] = 'CS_MII_Person_Vitalstatus_T',,,,,,"Variable:
SCT: 16100001 | Death diagnosis (contextual qualifier) (qualifier value) : 246061005 | Attribute (attribute) |
= 734842000 | Source (property) (qualifier value) |
Choices:
SCT: 270425006 | Letter from specialist (procedure) | 
SCT: 307930005 | Death certificate (record artifact) | 
SCT: 229053005 | Registers (qualifier value) | 
SCT: 74964007 | Other (qualifier value) |
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_769681006_center,erker_v15ib,4. Behandlungsverlauf,text,4.1 Erstkontakt mit dem Fachzentrum [JJJJ-MM-TT],,,date_ymd,,,,,,,,,,"Variable:
SCT: 769681006 | First encounter by subject (finding) | : 246297005 | Place (attribute) | = 288565001 | Medical center (environment) |"
sct_440377005,erker_v15ib,,dropdown,4.2 Patient:in überwiesen von,"sct_306098008, Selbstüberweisung | sct_716757008_410657003_116154003, Patientenorganisation | sct_62247001, Hausärzt:in | sct_309329001, Kinderärzt:in (ambulant) | sct_82296001_18720000_22232009, Kinderärzt:in (Krankenhaus) | sct_716757008_410657003_419772000, Mutter-Kind-Zentrum | sct_159141008, Humangenetiker:in | sct_83685006, Gynäkolog:in | sct_309343006_410657003_74964007, sonstige:r ärztliche:r Spezialist:in | sct_288565001_410657003_781087000, (Medizinisches) Versorgungszentrum | sct_288565001_410657003_424525001, Zentrum für pränatales Screening oder multidisziplinäres Zentrum für pränatale Diagnose | sct_288565001_410657003_373654008, (Medizinisches) Referenzzentrum | sct_288565001_410657003_32082000, (Medizinisches) Kompetenzzentrum | sct_74964007, Sonstiges | sct_1220561009, nicht erfasst",,,,,,,,,,,,"Variable:
SCT: 440377005 | Referral by (observable entity) |
Choices:
SCT: 306098008 | Self-referral (procedure) | 
SCT: 716757008 | Referring organization (observable entity) | : 410657003 | Type (attribute) = 116154003 | Patient (person) |
SCT: 62247001 | Family medicine specialist (occupation) | 
SCT: 309328009 | Ambulatory pediatrician (occupation) | 
SCT: 82296001 | Pediatrician (occupation) | : 18720000 | In (attribute) | = 22232009 | Hospital (environment) |
SCT: 716757008 | Referring organization (observable entity) | : 410657003 | Type (attribute) | = 
SCT: 419772000 | Family practice (qualifier value) |
SCT: 159141008 | Geneticist (occupation) | 
SCT: 83685006 | Gynecologist (occupation) | 
SCT: 309343006 | Physician (occupation) | :  410657003 | Type (attribute) | = 74964007 | Other (qualifier value) |
SCT: 288565001 | Medical center (environment) | : 410657003 | Type (attribute) | = 781087000 | Medical care (regime/therapy) |
SCT: 288565001 | Medical center (environment) | : 410657003 | Type (attribute) | =  424525001 | Antenatal care (regime/therapy) | 
SCT: 288565001 | Medical center (environment) | : 410657003 | Type (attribute) | =  373654008 Medical referral service (qualifier value)
SCT: 288565001 | Medical center (environment) | : 410657003 | Type (attribute) | =  32082000 | Competence (finding) | 
SCT: 74964007 | Other (qualifier value) | 
SCT: 1220561009 | Not recorded (qualifier value) |

SCT: sct_288565001 | Medical center (environment) |"
sct_276239002_aim,erker_v15ib,,dropdown,4.3 Ziel der Behandlung am Zentrum,"sct_439401001, Diagnose | sct_276239002_260726005_360161008, Therapieeinleitung | sct_185389009, Verlaufskontrolle | sct_788339009, genetische Beratung | sct_439401001_370134009_263675000, pränatale Diagnose | sct_182813001, Notfallbehandlung | sct_110465008, Forschung/Studienzwecke | sct_311401005, Patientenschulung | sct_1861000124105, Transition | sct_74964007, sonstiges | sct_1220561009, nicht erfasst",,,,,,,,,,,,"Variable: 
SCT: 276239002 | Therapy (regime/therapy) | : 363703001 | Has intent (attribute) | = 262202000 | Therapeutic intent (qualifier value) |, 246297005 | Place (attribute) | = 288565001 | Medical center (environment) |
Choices:
SCT: 439401001 | Diagnosis (observable entity) |
SCT: 276239002 | Therapy (procedure) | :  260726005 | Part (attribute) | = 360161008 | Induction - action (qualifier value) |
SCT: 185389009 | Follow-up visit (procedure) |
SCT: 788339009 | Genetic counseling (procedure) |
SCT: 439401001 | Diagnosis (observable entity) | : 370134009 | Time aspect (attribute) | = 263675000 | Antenatal (qualifier value) 
SCT: 182813001 | Emergency treatment (procedure) |
SCT: 110465008 | Clinical trial (procedure) |
SCT: 311401005 | Patient education (procedure) |
SCT: 1861000124105 | Transition of care (finding) |
SCT: 74964007 | Other (qualifier value) |
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_424850005,erker_v15ib,5. Krankheitsverlauf,dropdown,"5.1 Alter bei Krankheitsbeginn [Alter bei Auftreten der ersten Symptome/Anzeichen]
","sct_118189007, Pränatal | sct_3950001, Bei Geburt | sct_410672004, Datum | sct_261665006, unbestimmt",,,,,,,,,,,,"Variable:
SCT: 424850005 | Age at first symptom (observable entity) |
Choices:
SCT: 118189007 | Prenatal finding (finding) | 
SCT: 3950001 | Birth (finding) |
SCT: 410672004 | Date property (qualifier value) | 
SCT: 261665006 | Unknown (qualifier value)"
